,code,name,ind_code,ind
694,8930,한미사이언스,116409,기타 금융업
228,8970,동양철관,32401,1차 철강 제조업
589,9070,케이씨티시,84903,도로 화물 운송업
114,9140,경인전자,32602,전자부품 제조업
329,9150,삼성전기,32602,전자부품 제조업
83,9160,SIMPAC,32902,특수 목적용 기계 제조업
702,9180,한솔로지스틱스,85209,기타 운송관련 서비스업
179,9190,대양금속,32401,1차 철강 제조업
283,9200,무림페이퍼,31701,"펄프, 종이 및 판지 제조업"
696,9240,한샘,74604,생활용품 도매업
412,9270,신원,31401,봉제의복 제조업
120,9290,광동제약,32102,의약품 제조업
577,9310,참엔지니어링,32902,특수 목적용 기계 제조업
182,9320,대우부품,33003,자동차 신품 부품 제조업
623,9410,태영건설,64102,토목 건설업
713,9420,한올바이오파마,32102,의약품 제조업
38,9440,KC그린홀딩스,116409,기타 금융업
108,9450,경동나비엔,32805,가정용 기기 제조업
727,9460,한창제지,31701,"펄프, 종이 및 판지 제조업"
355,9470,삼화전기,32602,전자부품 제조업
671,9540,한국조선해양,33101,선박 및 보트 건조업
282,9580,무림P&P,31701,"펄프, 종이 및 판지 제조업"
281,9680,모토닉,33003,자동차 신품 부품 제조업
350,9770,삼정펄프,31701,"펄프, 종이 및 판지 제조업"
459,9810,엔케이물산,74607,기타 전문 도매업
731,9830,한화솔루션,32001,기초 화학물질 제조업
465,9970,영원무역홀딩스,116409,기타 금융업
663,10040,한국내화,32302,"내화, 비내화 요업제품 제조업"
480,10050,우리종금,116409,기타 금융업
72,10060,OCI,32001,기초 화학물질 제조업
684,10100,한국프랜지공업,33003,자동차 신품 부품 제조업
462,10120,엘에스일렉트릭,32801,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
118,10130,고려아연,32402,1차 비철금속 제조업
332,10140,삼성중공업,33101,선박 및 보트 건조업
484,10400,우진아이엔에스,64202,건물설비 설치 공사업
706,10420,한솔피엔에스,74607,기타 전문 도매업
567,10580,지코,33003,자동차 신품 부품 제조업
489,10600,웰바이오텍,74601,상품 중개업
745,10620,현대미포조선,33101,선박 및 보트 건조업
571,10640,진양폴리우레탄,32202,플라스틱제품 제조업
